date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.13,0.13,0.0,0.0
2026-04-01,99419.72,-580.28,-0.58,0.58
2026-04-02,98739.4,-1260.6,-1.261,1.261
2026-04-02,95590.54,-4409.46,-4.409,4.409
2026-04-02,95621.53,-4378.47,-4.378,4.378
2026-04-02,94834.73,-5165.27,-5.165,5.165
2026-04-02,96565.66,-3434.34,-3.434,3.434
2026-04-02,96579.09,-3420.91,-3.421,3.421
2026-04-03,95892.96,-4107.04,-4.107,4.107
2026-04-03,95841.89,-4158.11,-4.158,4.158
2026-04-03,96402.88,-3597.12,-3.597,3.597
2026-04-03,96098.95,-3901.05,-3.901,3.901
2026-04-03,95965.33,-4034.67,-4.035,4.035
2026-04-03,95896.47,-4103.53,-4.104,4.104
2026-04-04,95768.79,-4231.21,-4.231,4.231
2026-04-04,95818.54,-4181.46,-4.181,4.181
2026-04-04,95963.09,-4036.91,-4.037,4.037
2026-04-04,95825.56,-4174.44,-4.174,4.174
2026-04-04,95934.57,-4065.43,-4.065,4.065
2026-04-04,96307.32,-3692.68,-3.693,3.693
2026-04-05,96150.23,-3849.77,-3.85,3.85
2026-04-05,95854.1,-4145.9,-4.146,4.146
2026-04-05,95202.49,-4797.51,-4.798,4.798
2026-04-05,94910.16,-5089.84,-5.09,5.09
2026-04-05,96043.51,-3956.49,-3.956,3.956
2026-04-05,96330.17,-3669.83,-3.67,3.67
2026-04-06,98676.02,-1323.98,-1.324,1.324
2026-04-06,99264.39,-735.61,-0.736,0.736
2026-04-06,99660.49,-339.51,-0.34,0.34
2026-04-06,100332.85,332.85,0.333,0.0
2026-04-06,100517.54,517.54,0.518,0.0
2026-04-06,100229.38,229.38,0.229,0.0
2026-04-07,98340.69,-1659.31,-1.659,1.659
2026-04-07,97844.93,-2155.07,-2.155,2.155
2026-04-07,98209.87,-1790.13,-1.79,1.79
2026-04-07,97036.37,-2963.63,-2.964,2.964
2026-04-07,96893.48,-3106.52,-3.107,3.107
2026-04-07,98393.75,-1606.25,-1.606,1.606
2026-04-08,103827.5,3827.5,3.828,0.0
2026-04-08,104184.78,4184.78,4.185,0.0
2026-04-08,104858.45,4858.45,4.858,0.0
2026-04-08,104804.01,4804.01,4.804,0.0
2026-04-08,103090.79,3090.79,3.091,0.0
2026-04-08,102871.93,2871.93,2.872,0.0
2026-04-09,100846.9,846.9,0.847,0.0
2026-04-09,101661.36,1661.36,1.661,0.0
2026-04-09,101643.73,1643.73,1.644,0.0
2026-04-09,101468.42,1468.42,1.468,0.0
2026-04-09,102388.66,2388.66,2.389,0.0
2026-04-09,103161.99,3161.99,3.162,0.0
2026-04-10,101652.15,1652.15,1.652,0.0
2026-04-10,102352.47,2352.47,2.352,0.0
2026-04-10,101659.75,1659.75,1.66,0.0
2026-04-10,103471.22,3471.22,3.471,0.0
2026-04-10,104125.76,4125.76,4.126,0.0
2026-04-10,104776.42,4776.42,4.776,0.0
2026-04-11,103975.99,3975.99,3.976,0.0
2026-04-11,103872.71,3872.71,3.873,0.0
2026-04-11,103867.94,3867.94,3.868,0.0
2026-04-11,104259.72,4259.72,4.26,0.0
2026-04-11,104493.44,4493.44,4.493,0.0
2026-04-11,107233.09,7233.09,7.233,0.0
2026-04-12,103931.83,3931.83,3.932,0.0
2026-04-12,102938.46,2938.46,2.938,0.0
2026-04-12,103048.02,3048.02,3.048,0.0
2026-04-12,102374.01,2374.01,2.374,0.0
2026-04-12,101621.33,1621.33,1.621,0.0
2026-04-12,102086.11,2086.11,2.086,0.0
2026-04-13,102418.77,2418.77,2.419,0.0
2026-04-13,102022.12,2022.12,2.022,0.0
2026-04-13,101793.64,1793.64,1.794,0.0
2026-04-13,101956.9,1956.9,1.957,0.0
2026-04-13,103570.41,3570.41,3.57,0.0
2026-04-13,104761.53,4761.53,4.762,0.0
2026-04-14,109923.66,9923.66,9.924,0.0
2026-04-14,109395.78,9395.78,9.396,0.0
2026-04-14,110961.82,10961.82,10.962,0.0
2026-04-14,110318.85,10318.85,10.319,0.0
2026-04-14,108595.71,8595.71,8.596,0.0
2026-04-14,107443.24,7443.24,7.443,0.0
2026-04-15,108478.94,8478.94,8.479,0.0
2026-04-15,107627.58,7627.58,7.628,0.0
2026-04-15,107859.61,7859.61,7.86,0.0
2026-04-15,99969.9,-30.1,-0.03,0.03
2026-04-15,108469.48,8469.48,8.469,0.0
2026-04-15,109513.44,9513.44,9.513,0.0
2026-04-16,109297.23,9297.23,9.297,0.0
2026-04-16,109414.4,9414.4,9.414,0.0
2026-04-16,108694.12,8694.12,8.694,0.0
2026-04-16,108760.52,8760.52,8.761,0.0
2026-04-16,107663.13,7663.13,7.663,0.0
2026-04-16,108959.59,8959.59,8.96,0.0
2026-04-17,108419.54,8419.54,8.42,0.0
2026-04-17,107706.38,7706.38,7.706,0.0
2026-04-17,109252.3,9252.3,9.252,0.0
2026-04-17,110080.91,10080.91,10.081,0.0
2026-04-17,114198.62,14198.62,14.199,0.0
2026-04-17,112276.31,12276.31,12.276,0.0
2026-04-18,112542.57,12542.57,12.543,0.0
2026-04-18,111848.87,11848.87,11.849,0.0
2026-04-18,110133.51,10133.51,10.134,0.0
2026-04-18,109159.82,9159.82,9.16,0.0
2026-04-18,109960.25,9960.25,9.96,0.0
2026-04-18,109028.16,9028.16,9.028,0.0
2026-04-19,108856.23,8856.23,8.856,0.0
2026-04-19,108236.02,8236.02,8.236,0.0
2026-04-19,107646.96,7646.96,7.647,0.0
2026-04-19,107959.27,7959.27,7.959,0.0
2026-04-19,107663.92,7663.92,7.664,0.0
2026-04-19,106370.66,6370.66,6.371,0.0
2026-04-20,106310.89,6310.89,6.311,0.0
2026-04-20,105542.35,5542.35,5.542,0.0
2026-04-20,107249.76,7249.76,7.25,0.0
2026-04-20,107495.96,7495.96,7.496,0.0
2026-04-20,106771.53,6771.53,6.772,0.0
2026-04-20,108122.07,8122.07,8.122,0.0
2026-04-21,107716.47,7716.47,7.716,0.0
2026-04-21,107423.33,7423.33,7.423,0.0
2026-04-21,107921.48,7921.48,7.921,0.0
2026-04-21,107127.54,7127.54,7.128,0.0
2026-04-21,107463.06,7463.06,7.463,0.0
2026-04-21,107558.37,7558.37,7.558,0.0
2026-04-22,107378.47,7378.47,7.378,0.0
2026-04-22,111286.08,11286.08,11.286,0.0
2026-04-22,110882.8,10882.8,10.883,0.0
2026-04-22,111605.06,11605.06,11.605,0.0
2026-04-22,110845.65,10845.65,10.846,0.0
2026-04-22,110975.0,10975.0,10.975,0.0
2026-04-23,109692.75,9692.75,9.693,0.0
2026-04-23,108898.85,8898.85,8.899,0.0
2026-04-23,107899.0,7899.0,7.899,0.0
