date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,102980.99,2980.99,2.981,0.0
2026-04-01,102881.34,2881.34,2.881,0.0
2026-04-01,103640.14,3640.14,3.64,0.0
2026-04-01,102518.89,2518.89,2.519,0.0
2026-04-02,101359.61,1359.61,1.36,0.0
2026-04-02,99455.76,-544.24,-0.544,0.544
2026-04-02,100096.34,96.34,0.096,0.0
2026-04-02,99641.11,-358.89,-0.359,0.359
2026-04-02,100572.48,572.48,0.572,0.0
2026-04-02,100371.04,371.04,0.371,0.0
2026-04-03,100284.16,284.16,0.284,0.0
2026-04-03,100620.06,620.06,0.62,0.0
2026-04-03,101531.59,1531.59,1.532,0.0
2026-04-03,101414.36,1414.36,1.414,0.0
2026-04-03,101794.82,1794.82,1.795,0.0
2026-04-03,101998.66,1998.66,1.999,0.0
2026-04-04,101296.85,1296.85,1.297,0.0
2026-04-04,101231.77,1231.77,1.232,0.0
2026-04-04,101281.33,1281.33,1.281,0.0
2026-04-04,101072.75,1072.75,1.073,0.0
2026-04-04,101660.51,1660.51,1.661,0.0
2026-04-04,102320.45,2320.45,2.32,0.0
2026-04-05,101720.51,1720.51,1.721,0.0
2026-04-05,101047.0,1047.0,1.047,0.0
2026-04-05,100227.86,227.86,0.228,0.0
2026-04-05,100047.41,47.41,0.047,0.0
2026-04-05,100791.28,791.28,0.791,0.0
2026-04-05,100521.76,521.76,0.522,0.0
2026-04-06,102003.53,2003.53,2.004,0.0
2026-04-06,102563.75,2563.75,2.564,0.0
2026-04-06,102383.21,2383.21,2.383,0.0
2026-04-06,102900.61,2900.61,2.901,0.0
2026-04-06,102836.07,2836.07,2.836,0.0
2026-04-06,102034.79,2034.79,2.035,0.0
2026-04-07,100881.28,881.28,0.881,0.0
2026-04-07,100529.87,529.87,0.53,0.0
2026-04-07,100835.76,835.76,0.836,0.0
2026-04-07,100434.89,434.89,0.435,0.0
2026-04-07,100694.68,694.68,0.695,0.0
2026-04-07,102423.76,2423.76,2.424,0.0
2026-04-08,104723.2,4723.2,4.723,0.0
2026-04-08,105341.62,5341.62,5.342,0.0
2026-04-08,104985.07,4985.07,4.985,0.0
2026-04-08,104882.0,4882.0,4.882,0.0
2026-04-08,103961.88,3961.88,3.962,0.0
2026-04-08,103534.87,3534.87,3.535,0.0
2026-04-09,101819.08,1819.08,1.819,0.0
2026-04-09,101877.67,1877.67,1.878,0.0
2026-04-09,101735.88,1735.88,1.736,0.0
2026-04-09,101819.26,1819.26,1.819,0.0
2026-04-09,102653.34,2653.34,2.653,0.0
2026-04-09,104742.96,4742.96,4.743,0.0
2026-04-10,102574.97,2574.97,2.575,0.0
2026-04-10,103297.93,3297.93,3.298,0.0
