date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100002.16,2.16,0.002,0.0
2026-04-01,99916.24,-83.76,-0.084,0.084
2026-04-01,99073.23,-926.77,-0.927,0.927
2026-04-01,101325.55,1325.55,1.326,0.0
2026-04-01,98439.88,-1560.12,-1.56,1.56
2026-04-02,95676.21,-4323.79,-4.324,4.324
2026-04-02,93892.47,-6107.53,-6.108,6.108
2026-04-02,94313.45,-5686.55,-5.687,5.687
2026-04-02,93207.66,-6792.34,-6.792,6.792
2026-04-02,94859.54,-5140.46,-5.14,5.14
2026-04-02,94433.56,-5566.44,-5.566,5.566
2026-04-03,94562.55,-5437.45,-5.437,5.437
2026-04-03,94439.95,-5560.05,-5.56,5.56
2026-04-03,95255.12,-4744.88,-4.745,4.745
2026-04-03,95342.31,-4657.69,-4.658,4.658
2026-04-03,95966.86,-4033.14,-4.033,4.033
2026-04-03,95749.82,-4250.18,-4.25,4.25
2026-04-04,95565.89,-4434.11,-4.434,4.434
2026-04-04,95598.09,-4401.91,-4.402,4.402
2026-04-04,95704.99,-4295.01,-4.295,4.295
2026-04-04,95635.78,-4364.22,-4.364,4.364
2026-04-04,96534.49,-3465.51,-3.466,3.466
2026-04-04,96329.38,-3670.62,-3.671,3.671
2026-04-05,96245.89,-3754.11,-3.754,3.754
2026-04-05,95704.65,-4295.35,-4.295,4.295
2026-04-05,94922.77,-5077.23,-5.077,5.077
2026-04-05,94562.95,-5437.05,-5.437,5.437
2026-04-05,95025.72,-4974.28,-4.974,4.974
2026-04-05,95220.95,-4779.05,-4.779,4.779
2026-04-06,97788.22,-2211.78,-2.212,2.212
2026-04-06,97829.19,-2170.81,-2.171,2.171
2026-04-06,97951.72,-2048.28,-2.048,2.048
2026-04-06,98480.47,-1519.53,-1.52,1.52
2026-04-06,97953.02,-2046.98,-2.047,2.047
2026-04-06,98021.17,-1978.83,-1.979,1.979
2026-04-07,95728.05,-4271.95,-4.272,4.272
2026-04-07,95416.07,-4583.93,-4.584,4.584
2026-04-07,95779.42,-4220.58,-4.221,4.221
2026-04-07,94634.33,-5365.67,-5.366,5.366
2026-04-07,94592.28,-5407.72,-5.408,5.408
2026-04-07,98240.51,-1759.49,-1.759,1.759
2026-04-08,101071.01,1071.01,1.071,0.0
2026-04-08,101140.73,1140.73,1.141,0.0
2026-04-08,101156.88,1156.88,1.157,0.0
2026-04-08,101124.05,1124.05,1.124,0.0
2026-04-08,99676.7,-323.3,-0.323,0.323
2026-04-08,99572.81,-427.19,-0.427,0.427
2026-04-09,98046.3,-1953.7,-1.954,1.954
2026-04-09,98351.85,-1648.15,-1.648,1.648
2026-04-09,98580.63,-1419.37,-1.419,1.419
2026-04-09,98345.17,-1654.83,-1.655,1.655
2026-04-09,99460.98,-539.02,-0.539,0.539
2026-04-09,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-10,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-11,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-12,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-13,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-14,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-15,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-16,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-17,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-18,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-19,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-20,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-21,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-22,99332.98,-667.02,-0.667,0.667
2026-04-23,99332.98,-667.02,-0.667,0.667
2026-04-23,99332.98,-667.02,-0.667,0.667
2026-04-23,99134.34,-865.66,-0.866,0.866
2026-04-23,99661.75,-338.25,-0.338,0.338
2026-04-23,98942.52,-1057.48,-1.057,1.057
2026-04-23,99373.61,-626.39,-0.626,0.626
2026-04-24,99912.51,-87.49,-0.087,0.087
2026-04-24,99226.86,-773.14,-0.773,0.773
2026-04-24,98656.87,-1343.13,-1.343,1.343
2026-04-24,100180.63,180.63,0.181,0.0
2026-04-24,100035.63,35.63,0.036,0.0
2026-04-24,100719.41,719.41,0.719,0.0
2026-04-25,99883.01,-116.99,-0.117,0.117
2026-04-25,99980.49,-19.51,-0.02,0.02
2026-04-25,100523.3,523.3,0.523,0.0
2026-04-25,100115.51,115.51,0.116,0.0
2026-04-25,99928.15,-71.85,-0.072,0.072
2026-04-25,99542.39,-457.61,-0.458,0.458
2026-04-26,99839.97,-160.03,-0.16,0.16
2026-04-26,100391.05,391.05,0.391,0.0
2026-04-26,100391.05,391.05,0.391,0.0
2026-04-26,100391.05,391.05,0.391,0.0
2026-04-26,100391.05,391.05,0.391,0.0
2026-04-26,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-27,100391.05,391.05,0.391,0.0
2026-04-28,100391.05,391.05,0.391,0.0
2026-04-28,100391.05,391.05,0.391,0.0
2026-04-28,100391.04,391.04,0.391,0.0
2026-04-28,100043.06,43.06,0.043,0.0
2026-04-28,100209.75,209.75,0.21,0.0
2026-04-28,100476.0,476.0,0.476,0.0
2026-04-29,100812.59,812.59,0.813,0.0
2026-04-29,101744.08,1744.08,1.744,0.0
2026-04-29,102191.63,2191.63,2.192,0.0
2026-04-29,100764.04,764.04,0.764,0.0
2026-04-29,99578.92,-421.08,-0.421,0.421
2026-04-29,99209.14,-790.86,-0.791,0.791
2026-04-30,100662.49,662.49,0.662,0.0
2026-04-30,99187.35,-812.65,-0.813,0.813
