date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-02,99996.7,-3.3,-0.003,0.003
2026-04-02,98317.72,-1682.28,-1.682,1.682
2026-04-02,98783.27,-1216.73,-1.217,1.217
2026-04-02,97617.26,-2382.74,-2.383,2.383
2026-04-02,99347.46,-652.54,-0.653,0.653
2026-04-02,98914.43,-1085.57,-1.086,1.086
2026-04-03,99014.23,-985.77,-0.986,0.986
2026-04-03,98874.07,-1125.93,-1.126,1.126
2026-04-03,99722.66,-277.34,-0.277,0.277
2026-04-03,99774.01,-225.99,-0.226,0.226
2026-04-03,100410.13,410.13,0.41,0.0
2026-04-03,100239.44,239.44,0.239,0.0
2026-04-04,100064.4,64.4,0.064,0.0
2026-04-04,100082.1,82.1,0.082,0.0
2026-04-04,100198.23,198.23,0.198,0.0
2026-04-04,100109.28,109.28,0.109,0.0
2026-04-04,101053.61,1053.61,1.054,0.0
2026-04-04,100838.47,838.47,0.838,0.0
2026-04-05,100730.5,730.5,0.731,0.0
2026-04-05,100175.08,175.08,0.175,0.0
2026-04-05,99370.28,-629.72,-0.63,0.63
2026-04-05,98996.28,-1003.72,-1.004,1.004
2026-04-05,99471.78,-528.22,-0.528,0.528
