date,portfolio_value,daily_pnl,daily_pnl_pct,peak_value,drawdown_pct
2026-03-31,100000.0,0.0,0.0,100000.0,0.0
2026-03-31,100000.0,0.0,0.0,100000.0,0.0
2026-03-31,100000.0,0.0,0.0,100000.0,0.0
2026-04-01,101817.39,1817.39,1.817,101817.39,0.0
2026-04-01,104330.35,4330.35,4.33,104330.35,0.0
2026-04-02,99862.99,-137.01,-0.137,104330.35,4.282
2026-04-03,99712.29,-287.71,-0.288,104330.35,4.426
2026-04-09,99380.59,-619.41,-0.619,104330.35,4.744
2026-04-10,103556.84,3556.84,3.557,104330.35,0.741
2026-04-13,104221.06,4221.06,4.221,104330.35,0.105
2026-04-14,111078.55,11078.55,11.079,111078.55,0.0
2026-04-15,118709.13,18709.13,18.709,118709.13,0.0
2026-04-16,116549.9,16549.9,16.55,118709.13,1.819
