date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-02,100000.0,0.0,0.0,0.0
2026-04-03,100000.0,0.0,0.0,0.0
2026-04-06,100000.0,0.0,0.0,0.0
2026-04-07,100000.0,0.0,0.0,0.0
2026-04-08,100000.0,0.0,0.0,0.0
2026-04-09,101975.24,1975.24,1.975,0.0
2026-04-10,105414.42,5414.42,5.414,0.0
2026-04-13,106194.35,6194.35,6.194,0.0
2026-04-14,109629.52,9629.52,9.63,0.0
2026-04-15,110920.54,10920.54,10.921,0.0
2026-04-16,119185.32,19185.32,19.185,0.0
2026-04-17,119301.87,19301.87,19.302,0.0
2026-04-20,117882.69,17882.69,17.883,0.0
2026-04-21,121757.13,21757.13,21.757,0.0
2026-04-22,129584.03,29584.03,29.584,0.0
2026-04-23,130327.61,30327.61,30.328,0.0
2026-04-24,147784.74,47784.74,47.785,0.0
2026-04-27,142402.24,42402.24,42.402,0.0
2026-04-28,137693.84,37693.84,37.694,0.0
