date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,-0.0,-0.0,0.0
2026-03-31,100085.18,85.18,0.085,0.0
2026-03-31,102533.45,2533.45,2.533,0.0
2026-04-01,104145.0,4145.0,4.145,0.0
2026-04-01,103225.15,3225.15,3.225,0.0
2026-04-02,102356.41,2356.41,2.356,0.0
2026-04-03,102356.41,2356.41,2.356,0.0
2026-04-06,104247.2,4247.2,4.247,0.0
2026-04-07,104468.65,4468.65,4.469,0.0
2026-04-08,104370.96,4370.96,4.371,0.0
2026-04-09,100956.84,956.84,0.957,0.0
2026-04-10,100338.14,338.14,0.338,0.0
2026-04-13,104178.64,4178.64,4.179,0.0
2026-04-14,109950.0,9950.0,9.95,0.0
2026-04-15,116854.36,16854.36,16.854,0.0
2026-04-16,119041.22,19041.22,19.041,0.0
2026-04-17,122895.41,22895.41,22.895,0.0
2026-04-20,122784.14,22784.14,22.784,0.0
2026-04-21,122700.83,22700.83,22.701,0.0
2026-04-22,122715.77,22715.77,22.716,0.0
2026-04-23,122526.81,22526.81,22.527,0.0
2026-04-24,122562.16,22562.16,22.562,0.0
2026-04-27,122594.64,22594.64,22.595,0.0
2026-04-28,122558.32,22558.32,22.558,0.0
2026-04-29,122514.2,22514.2,22.514,0.0
