date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100002.79,2.79,0.003,0.0
2026-03-31,100093.89,93.89,0.094,0.0
2026-03-31,101705.94,1705.94,1.706,0.0
2026-04-01,102347.1,2347.1,2.347,0.0
2026-04-01,103142.52,3142.52,3.143,0.0
2026-04-02,104048.38,4048.38,4.048,0.0
2026-04-03,104048.38,4048.38,4.048,0.0
2026-04-06,104205.81,4205.81,4.206,0.0
2026-04-07,104460.58,4460.58,4.461,0.0
2026-04-08,106802.78,6802.78,6.803,0.0
2026-04-09,107853.93,7853.93,7.854,0.0
2026-04-10,110485.43,10485.43,10.485,0.0
2026-04-13,110916.15,10916.15,10.916,0.0
2026-04-14,115001.65,15001.65,15.002,0.0
2026-04-15,115019.46,15019.46,15.019,0.0
2026-04-16,115017.5,15017.5,15.018,0.0
2026-04-17,115025.02,15025.02,15.025,0.0
2026-04-20,115019.81,15019.81,15.02,0.0
2026-04-21,115015.91,15015.91,15.016,0.0
2026-04-22,115016.61,15016.61,15.017,0.0
2026-04-23,115007.76,15007.76,15.008,0.0
2026-04-24,115009.41,15009.41,15.009,0.0
2026-04-27,115010.93,15010.93,15.011,0.0
2026-04-28,115009.23,15009.23,15.009,0.0
2026-04-29,115007.17,15007.17,15.007,0.0
2026-04-30,115012.83,15012.83,15.013,0.0
2026-05-01,115018.73,15018.73,15.019,0.0
2026-05-04,115019.82,15019.82,15.02,0.0
