date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.91,0.91,0.001,0.0
2026-03-31,100133.83,133.83,0.134,0.0
2026-03-31,101897.35,1897.35,1.897,0.0
2026-04-01,102827.34,2827.34,2.827,0.0
2026-04-01,106034.88,6034.88,6.035,0.0
2026-04-02,109489.69,9489.69,9.49,0.0
2026-04-03,109489.69,9489.69,9.49,0.0
2026-04-06,107442.56,7442.56,7.443,0.0
2026-04-07,105752.97,5752.97,5.753,0.0
2026-04-08,104813.26,4813.26,4.813,0.0
2026-04-09,105294.18,5294.18,5.294,0.0
2026-04-10,106178.83,6178.83,6.179,0.0
2026-04-13,107324.93,7324.93,7.325,0.0
2026-04-14,110852.39,10852.39,10.852,0.0
2026-04-15,118501.23,18501.23,18.501,0.0
2026-04-16,118501.23,18501.23,18.501,0.0
2026-04-17,118501.23,18501.23,18.501,0.0
2026-04-20,118501.23,18501.23,18.501,0.0
2026-04-21,118501.23,18501.23,18.501,0.0
2026-04-22,118501.23,18501.23,18.501,0.0
2026-04-23,118501.23,18501.23,18.501,0.0
2026-04-24,118501.23,18501.23,18.501,0.0
2026-04-27,118501.23,18501.23,18.501,0.0
